<root>
  <name value="High Churn"/>
  <lot name="L1" capacity="200" count="200" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="200" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <simulation monitored="0.5" search="0.0" arrival="0.9" departure="0.9" seed="8"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0" monitored="0.540733978074"/>
</root>

--------------------------
4.63 C L1 200
4.63 C L2 200
9.74 C L1 200
9.74 C L2 200
20.81 C L1 200
20.81 C L2 200
52.76 C L1 200
52.76 C L2 200
58.34 C L1 200
58.34 C L2 200
60.52 C L1 200
60.52 C L2 200
77.94 C L1 200
77.94 C L2 200
78.67 C L1 199
78.67 C L2 200
99.10 C L1 200
99.10 C L2 200
99.58 C L1 199
99.58 C L2 200
111.17 A L1
111.17 P L1 1.0 0:0.090 20:0.101 40:0.101 60:0.101 80:0.101 100:0.101 120:0.101 140:0.101 160:0.101 180:0.106
111.17 P L2 0.99369498953 0:0.100 20:0.100 40:0.100 60:0.100 80:0.100 100:0.100 120:0.100 140:0.100 160:0.100 180:0.104
111.17 C L1 200
111.17 C L2 200
113.78 C L1 200
113.78 C L2 200
130.91 C L1 200
130.91 C L2 199
135.58 C L1 200
135.58 C L2 200
136.19 D L2
136.19 P L1 0.998717062421 0:0.090 20:0.101 40:0.101 60:0.101 80:0.101 100:0.101 120:0.101 140:0.101 160:0.101 180:0.106
136.19 P L2 1.0 0:0.089 20:0.101 40:0.101 60:0.101 80:0.101 100:0.101 120:0.101 140:0.101 160:0.101 180:0.104
136.19 C L1 200
136.19 C L2 199
146.28 D L1
146.28 P L1 1.0 0:0.083 20:0.102 40:0.102 60:0.102 80:0.102 100:0.102 120:0.102 140:0.102 160:0.102 180:0.104
146.28 P L2 0.998818921511 0:0.089 20:0.101 40:0.101 60:0.101 80:0.101 100:0.101 120:0.101 140:0.101 160:0.101 180:0.104
146.28 C L1 199
146.28 C L2 199
148.33 A L1
148.33 P L1 1.0 0:0.082 20:0.102 40:0.102 60:0.102 80:0.102 100:0.102 120:0.102 140:0.102 160:0.102 180:0.104
148.33 P L2 0.997796720908 0:0.089 20:0.101 40:0.101 60:0.101 80:0.101 100:0.101 120:0.101 140:0.101 160:0.101 180:0.104
148.33 C L1 200
148.33 C L2 199
199.58 D L1
199.58 P L1 1.0 0:0.077 20:0.102 40:0.102 60:0.102 80:0.102 100:0.102 120:0.102 140:0.102 160:0.102 180:0.104
